satisfaction_level    last_evaluation    number_project    average_montly_hours    time_spend_company    Work_accident    promotion_last_5years    sales    salary    left_prediction    left_result
0.73    0.82    3.0    133.0    3.0    0.0    0.0    0.9    0.2    0    0
0.97    0.66    5.0    234.0    6.0    0.0    0.0    -0.19    -0.34    0    0
0.8    0.7    4.0    246.0    3.0    0.0    1.0    0.02    -0.34    0    0
0.9    0.66    3.0    256.0    4.0    0.0    0.0    -0.56    -0.34    0    0
0.85    0.99    4.0    233.0    2.0    0.0    0.0    0.02    1.0    0    0
0.6    0.53    2.0    235.0    7.0    0.0    0.0    0.17    0.2    0    0
0.63    0.83    4.0    243.0    4.0    0.0    0.0    0.2    -0.34    0    0
0.11    0.8    6.0    256.0    4.0    0.0    0.0    0.17    -0.34    1    1
0.57    0.5    4.0    230.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.38    0.46    2.0    160.0    3.0    0.0    0.0    -0.12    -0.34    1    1
0.79    0.58    3.0    294.0    4.0    0.0    0.0    -0.56    -0.34    0    1
0.66    0.63    5.0    264.0    5.0    0.0    0.0    -0.3    -0.34    0    0
0.37    0.47    2.0    149.0    3.0    0.0    0.0    -0.07    -0.34    1    1
0.17    0.59    4.0    179.0    4.0    0.0    0.0    0.2    -0.34    1    0
0.62    0.66    5.0    165.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.62    0.51    5.0    134.0    3.0    0.0    0.0    -0.07    1.0    0    0
0.7    0.93    3.0    250.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.92    0.99    5.0    255.0    6.0    0.0    0.0    -0.07    -0.34    0    1
0.9    0.66    4.0    160.0    2.0    1.0    0.0    -0.12    0.2    0    0
0.9    1.0    5.0    221.0    5.0    0.0    0.0    -0.12    -0.34    0    1
0.9    0.94    5.0    247.0    5.0    0.0    0.0    -0.19    -0.34    0    1
0.78    0.61    3.0    193.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.83    0.5    5.0    274.0    3.0    0.0    0.0    -0.3    -0.34    0    0
0.43    0.49    2.0    135.0    3.0    0.0    0.0    -0.3    0.2    0    1
0.16    0.97    6.0    282.0    4.0    0.0    0.0    0.2    -0.34    1    0
0.23    0.51    6.0    194.0    4.0    1.0    0.0    0.9    0.2    0    0
0.22    0.94    3.0    193.0    10.0    0.0    1.0    1.0    1.0    0    0
0.09    0.89    6.0    282.0    4.0    0.0    0.0    -0.12    -0.34    1    1
0.81    0.92    4.0    268.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.87    0.74    4.0    190.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.11    0.87    6.0    255.0    4.0    0.0    0.0    -0.07    -0.34    1    1
0.28    0.83    4.0    162.0    3.0    0.0    0.0    -0.07    -0.34    1    0
0.45    0.46    2.0    159.0    3.0    0.0    0.0    -0.56    1.0    0    1
0.94    0.86    3.0    221.0    3.0    1.0    0.0    -0.07    0.2    0    0
0.48    0.54    2.0    144.0    3.0    0.0    0.0    -0.3    -0.34    0    0
0.24    0.6    4.0    195.0    5.0    0.0    0.0    -0.07    0.2    1    0
0.77    0.89    4.0    153.0    7.0    0.0    0.0    -0.07    0.2    0    0
0.92    0.99    3.0    176.0    8.0    0.0    0.0    -0.07    0.2    0    0
0.55    0.97    4.0    136.0    4.0    0.0    0.0    -0.07    -0.34    0    0
0.46    0.57    2.0    145.0    3.0    0.0    0.0    -0.07    -0.34    0    1
0.87    0.57    2.0    181.0    6.0    0.0    0.0    0.9    0.2    0    0
0.58    0.83    4.0    207.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.56    0.75    4.0    249.0    3.0    0.0    0.0    -0.12    -0.34    0    0
0.7    0.74    4.0    247.0    2.0    0.0    0.0    -0.07    -0.34    0    0
0.52    0.97    4.0    170.0    3.0    0.0    0.0    -0.12    0.2    0    0
0.1    0.92    6.0    279.0    4.0    0.0    0.0    -0.07    0.2    1    1
0.61    0.86    3.0    239.0    3.0    0.0    0.0    0.17    -0.34    0    0
0.37    0.72    3.0    121.0    2.0    0.0    0.0    -0.07    -0.34    0    0
0.84    0.43    6.0    246.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.64    0.71    3.0    231.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.85    0.87    6.0    232.0    5.0    0.0    0.0    1.0    1.0    0    0
0.38    0.51    2.0    146.0    3.0    0.0    0.0    0.17    0.2    0    1
1.0    0.67    3.0    181.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.54    0.5    4.0    160.0    3.0    0.0    0.0    -0.12    0.2    0    0
0.81    0.76    3.0    203.0    3.0    0.0    0.0    0.9    0.2    0    0
0.82    0.54    3.0    243.0    4.0    0.0    0.0    -0.12    -0.34    0    0
0.87    0.98    4.0    248.0    5.0    0.0    0.0    -0.07    -0.34    0    1
0.94    0.52    5.0    133.0    3.0    0.0    0.0    -0.12    -0.34    0    0
0.7    0.57    4.0    211.0    3.0    0.0    0.0    -0.56    1.0    0    0
0.83    0.82    5.0    273.0    4.0    0.0    0.0    -0.07    -0.34    0    0
0.66    0.76    3.0    170.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.6    0.62    5.0    274.0    3.0    0.0    0.0    1.0    0.2    0    0
0.41    0.54    2.0    153.0    3.0    1.0    0.0    -0.07    -0.34    0    1
0.84    0.85    4.0    249.0    6.0    0.0    0.0    0.02    -0.34    0    1
0.73    0.67    2.0    139.0    8.0    0.0    0.0    -0.07    0.2    0    0
0.41    0.96    5.0    167.0    3.0    1.0    0.0    -0.19    -0.34    0    0
0.51    0.88    5.0    230.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.66    0.75    4.0    235.0    3.0    0.0    0.0    0.9    0.2    0    0
0.99    0.57    3.0    176.0    4.0    1.0    0.0    -0.12    0.2    0    0
0.83    0.73    4.0    157.0    2.0    0.0    0.0    0.9    0.2    0    0
0.56    0.85    5.0    230.0    3.0    0.0    0.0    -0.3    0.2    0    0
0.97    0.63    3.0    141.0    3.0    0.0    0.0    -0.19    0.2    0    0
0.92    0.74    4.0    213.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.84    0.81    4.0    236.0    3.0    1.0    0.0    0.17    -0.34    0    0
0.72    0.85    5.0    244.0    6.0    0.0    0.0    -0.07    -0.34    0    1
0.22    0.62    3.0    180.0    3.0    0.0    0.0    -0.12    -0.34    1    0
0.45    0.41    3.0    216.0    6.0    1.0    0.0    0.9    0.2    0    0
0.93    0.6    4.0    184.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.16    0.57    5.0    144.0    4.0    1.0    0.0    0.2    -0.34    0    0
0.59    0.66    3.0    166.0    3.0    1.0    0.0    1.0    -0.34    0    0
0.36    0.46    2.0    132.0    3.0    0.0    0.0    -0.07    -0.34    1    1
0.38    0.49    4.0    196.0    3.0    0.0    1.0    1.0    1.0    0    0
0.09    0.91    6.0    275.0    4.0    0.0    0.0    -0.12    -0.34    1    1
0.36    0.48    2.0    137.0    3.0    0.0    0.0    -0.19    -0.34    1    1
0.76    1.0    5.0    219.0    5.0    0.0    0.0    -0.12    -0.34    0    1
0.1    0.95    5.0    286.0    4.0    0.0    0.0    0.9    1.0    0    1
0.92    0.55    4.0    220.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.53    0.75    4.0    201.0    2.0    0.0    0.0    -0.07    -0.34    0    0
0.88    0.67    4.0    226.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.84    0.49    3.0    172.0    4.0    0.0    0.0    0.9    0.2    0    0
0.82    0.97    4.0    243.0    3.0    1.0    0.0    -0.19    -0.34    0    0
0.38    0.46    2.0    144.0    3.0    0.0    0.0    1.0    -0.34    0    1
0.45    0.62    6.0    129.0    5.0    0.0    0.0    -0.12    -0.34    0    0
0.66    0.56    4.0    141.0    4.0    0.0    0.0    -0.12    0.2    0    0
0.74    0.68    4.0    194.0    2.0    0.0    0.0    1.0    1.0    0    0
0.37    0.51    2.0    153.0    3.0    0.0    0.0    0.2    -0.34    1    1
0.57    0.65    4.0    265.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.69    0.51    3.0    257.0    3.0    1.0    0.0    0.17    -0.34    0    0
0.8    0.93    3.0    260.0    3.0    0.0    0.0    0.2    -0.34    0    0
0.58    0.62    3.0    169.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.14    0.62    4.0    158.0    4.0    1.0    0.0    -0.19    -0.34    0    1
0.59    0.51    4.0    184.0    2.0    0.0    0.0    0.02    -0.34    0    0
0.44    0.56    2.0    133.0    3.0    0.0    0.0    -0.19    0.2    0    1
0.37    0.41    2.0    146.0    2.0    0.0    0.0    -0.12    0.2    0    0
0.42    0.75    3.0    218.0    4.0    0.0    0.0    1.0    0.2    0    1
0.64    0.85    3.0    250.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.27    0.54    7.0    278.0    3.0    0.0    0.0    -0.19    -0.34    0    1
0.32    0.42    6.0    114.0    3.0    0.0    0.0    0.2    0.2    0    0
0.59    0.89    5.0    143.0    3.0    1.0    0.0    0.17    -0.34    0    0
0.42    0.48    2.0    155.0    3.0    0.0    0.0    -0.56    0.2    0    1
0.13    0.91    2.0    149.0    5.0    0.0    0.0    -0.07    0.2    1    0
0.41    0.57    2.0    160.0    3.0    0.0    0.0    -0.12    -0.34    1    1
0.1    0.9    7.0    286.0    4.0    0.0    0.0    -0.07    -0.34    1    1
0.72    0.84    5.0    257.0    5.0    0.0    0.0    -0.19    0.2    0    1
0.55    0.81    3.0    239.0    8.0    0.0    0.0    -0.3    1.0    0    0
0.75    0.84    5.0    222.0    3.0    1.0    0.0    0.17    0.2    0    0
0.98    0.92    4.0    175.0    2.0    0.0    0.0    0.17    0.2    0    0
0.71    0.79    4.0    133.0    3.0    0.0    1.0    -0.19    0.2    0    0
0.59    0.5    3.0    199.0    2.0    0.0    0.0    -0.19    1.0    0    0
0.89    0.88    5.0    228.0    5.0    1.0    0.0    -0.12    -0.34    0    1
0.65    0.53    4.0    160.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.77    0.66    3.0    260.0    4.0    0.0    0.0    0.9    1.0    0    0
0.51    0.51    5.0    222.0    4.0    0.0    0.0    -0.56    -0.34    0    0
0.16    0.72    4.0    192.0    6.0    0.0    0.0    -0.07    1.0    0    0
0.73    0.53    3.0    205.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.49    0.66    3.0    155.0    3.0    0.0    1.0    -0.07    -0.34    0    0
0.09    0.89    6.0    276.0    4.0    0.0    0.0    -0.19    -0.34    1    1
0.41    0.54    2.0    145.0    3.0    0.0    0.0    -0.12    -0.34    1    1
0.23    0.37    3.0    247.0    4.0    0.0    0.0    -0.56    0.2    1    0
0.54    0.53    3.0    184.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.79    0.82    5.0    158.0    2.0    0.0    0.0    -0.12    -0.34    0    0
0.41    0.52    2.0    132.0    3.0    0.0    0.0    0.9    -0.34    0    1
0.38    0.5    2.0    152.0    3.0    0.0    0.0    -0.07    1.0    0    1
0.52    0.45    2.0    145.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.93    0.55    3.0    134.0    3.0    1.0    0.0    0.2    -0.34    0    0
0.63    0.86    4.0    169.0    2.0    0.0    0.0    -0.07    1.0    0    0
0.89    0.73    3.0    210.0    2.0    0.0    0.0    -0.56    -0.34    0    0
0.98    0.54    4.0    178.0    3.0    0.0    0.0    -0.19    -0.34    0    0
0.43    0.55    2.0    153.0    3.0    0.0    0.0    -0.19    0.2    0    1
0.88    0.58    3.0    145.0    8.0    0.0    0.0    -0.07    -0.34    0    0
0.17    0.78    3.0    239.0    6.0    0.0    0.0    -0.07    -0.34    1    0
0.36    0.8    5.0    186.0    4.0    0.0    0.0    -0.3    0.2    0    0
0.76    0.5    4.0    136.0    3.0    0.0    0.0    0.02    0.2    0    0
0.98    0.74    4.0    139.0    3.0    0.0    0.0    -0.56    0.2    0    0
0.85    0.56    3.0    159.0    3.0    0.0    0.0    -0.56    0.2    0    0
0.98    0.84    3.0    286.0    4.0    0.0    0.0    -0.19    0.2    0    0
0.72    0.5    4.0    164.0    2.0    1.0    0.0    1.0    -0.34    0    0
0.68    0.51    3.0    185.0    3.0    0.0    0.0    0.02    0.2    0    0
0.85    0.63    3.0    167.0    3.0    0.0    0.0    0.2    0.2    0    0
0.87    0.73    5.0    111.0    4.0    0.0    0.0    1.0    1.0    0    0
0.6    0.57    2.0    184.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.6    0.58    3.0    201.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.45    0.53    2.0    138.0    3.0    0.0    0.0    -0.3    0.2    0    1
0.26    0.69    4.0    180.0    3.0    1.0    0.0    -0.3    -0.34    0    0
0.29    0.39    6.0    105.0    6.0    0.0    0.0    -0.19    0.2    0    0
0.49    0.95    4.0    156.0    2.0    0.0    0.0    -0.19    0.2    0    0
0.11    0.85    7.0    302.0    4.0    0.0    0.0    -0.07    -0.34    1    1
0.59    0.93    3.0    265.0    3.0    1.0    0.0    -0.07    -0.34    0    0
0.48    0.78    2.0    198.0    2.0    0.0    0.0    -0.19    0.2    0    1
0.74    0.7    5.0    135.0    2.0    0.0    1.0    -0.3    0.2    0    0
0.97    0.89    3.0    264.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.6    0.98    4.0    146.0    10.0    0.0    0.0    -0.19    -0.34    1    0
0.63    0.83    4.0    145.0    4.0    0.0    0.0    -0.12    0.2    0    0
0.39    0.56    2.0    147.0    3.0    0.0    0.0    -0.07    0.2    0    1
0.41    0.54    2.0    152.0    3.0    0.0    0.0    -0.19    -0.34    1    1
0.64    0.88    3.0    252.0    2.0    0.0    0.0    -0.07    -0.34    0    0
0.89    0.55    4.0    196.0    2.0    0.0    0.0    -0.3    0.2    0    0
0.11    0.79    7.0    310.0    4.0    0.0    0.0    -0.56    -0.34    1    1
0.5    0.95    5.0    194.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.96    0.84    3.0    264.0    3.0    0.0    0.0    0.9    -0.34    0    0
0.65    0.77    4.0    205.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.92    0.63    5.0    224.0    8.0    1.0    0.0    -0.07    -0.34    0    0
0.68    0.4    3.0    213.0    5.0    1.0    1.0    -0.07    -0.34    0    0
0.95    0.81    5.0    120.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.83    0.77    3.0    260.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.6    0.8    4.0    253.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.65    0.7    3.0    231.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.62    0.65    4.0    212.0    3.0    1.0    0.0    -0.07    0.2    0    0
0.35    0.52    5.0    244.0    3.0    0.0    0.0    -0.56    -0.34    1    0
0.74    0.98    3.0    166.0    3.0    1.0    1.0    1.0    1.0    0    0
0.56    0.94    3.0    226.0    2.0    0.0    0.0    -0.19    -0.34    0    0
0.1    0.77    6.0    265.0    4.0    0.0    0.0    -0.07    -0.34    1    1
0.59    0.47    3.0    159.0    4.0    0.0    0.0    0.2    -0.34    0    0
0.97    0.58    5.0    156.0    2.0    1.0    0.0    0.9    -0.34    0    0
0.11    0.92    7.0    307.0    4.0    0.0    0.0    0.17    -0.34    1    1
0.94    0.64    5.0    247.0    10.0    0.0    0.0    -0.07    0.2    0    0
0.89    0.67    3.0    226.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.43    0.45    2.0    135.0    3.0    0.0    0.0    0.02    -0.34    0    1
0.68    0.85    3.0    209.0    2.0    0.0    0.0    1.0    0.2    0    0
0.74    0.85    5.0    135.0    2.0    0.0    0.0    -0.12    -0.34    0    0
0.98    0.55    3.0    166.0    6.0    1.0    0.0    -0.07    0.2    0    0
0.68    0.55    3.0    213.0    3.0    0.0    0.0    0.2    0.2    0    0
0.95    0.65    5.0    182.0    3.0    0.0    0.0    0.02    -0.34    0    0
0.37    0.46    2.0    149.0    3.0    0.0    0.0    0.17    -0.34    1    1
0.63    0.67    4.0    229.0    3.0    0.0    0.0    -0.07    0.2    0    0
0.8    0.97    4.0    232.0    2.0    0.0    0.0    1.0    -0.34    0    0
0.89    0.52    3.0    190.0    3.0    0.0    0.0    0.9    0.2    0    0
0.85    0.87    4.0    152.0    7.0    0.0    0.0    -0.07    -0.34    0    0
0.9    0.63    4.0    134.0    3.0    1.0    0.0    -0.07    0.2    0    0
0.83    0.57    2.0    222.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.1    0.77    6.0    247.0    4.0    0.0    0.0    -0.07    -0.34    1    1
0.37    0.57    2.0    130.0    3.0    0.0    0.0    -0.07    -0.34    1    1
0.79    0.55    4.0    145.0    3.0    0.0    0.0    -0.19    0.2    0    0
0.59    0.75    3.0    168.0    3.0    0.0    0.0    0.9    0.2    0    0
0.8    0.9    4.0    241.0    2.0    0.0    0.0    0.17    -0.34    0    0
0.77    0.51    2.0    254.0    5.0    0.0    0.0    -0.3    0.2    0    0
0.74    0.76    3.0    224.0    2.0    0.0    0.0    -0.56    -0.34    0    0
0.46    0.38    6.0    140.0    3.0    0.0    0.0    -0.19    1.0    0    0
0.11    0.95    7.0    300.0    4.0    0.0    0.0    1.0    0.2    0    1
0.84    0.94    5.0    222.0    6.0    0.0    0.0    0.2    -0.34    0    1
0.79    0.87    3.0    232.0    2.0    0.0    0.0    -0.12    -0.34    0    0
0.79    0.61    4.0    162.0    2.0    0.0    0.0    -0.07    0.2    0    0
0.6    0.74    3.0    175.0    3.0    1.0    0.0    -0.56    -0.34    0    0
0.85    0.87    5.0    245.0    5.0    0.0    0.0    -0.19    -0.34    0    1
0.85    0.67    3.0    176.0    2.0    0.0    0.0    0.17    0.2    0    0
0.1    0.93    6.0    289.0    4.0    1.0    0.0    -0.12    -0.34    0    1
0.75    0.88    3.0    224.0    2.0    0.0    0.0    -0.07    -0.34    0    0
0.37    0.54    2.0    132.0    3.0    0.0    0.0    -0.19    -0.34    1    1
0.39    0.54    2.0    154.0    3.0    0.0    0.0    0.02    -0.34    1    1
0.39    0.55    2.0    156.0    3.0    0.0    0.0    -0.07    1.0    0    1
0.62    0.49    4.0    218.0    4.0    0.0    0.0    -0.07    0.2    0    0
0.89    0.51    4.0    141.0    3.0    0.0    0.0    -0.07    -0.34    0    0
0.65    0.74    4.0    233.0    4.0    1.0    0.0    1.0    -0.34    0    0
0.43    0.55    2.0    159.0    3.0    0.0    0.0    0.9    -0.34    0    1
